"age","year","childs","zodiac"
61,2014,1,"aquarius"
39,2014,0,"cancer"
39,2014,3,"aquarius"
35,2014,1,"cancer"
56,2014,3,"virgo"
52,2014,0,NA
28,2014,0,"taurus"
50,2014,0,"taurus"
76,2014,5,"taurus"
89,2014,2,"virgo"
29,2014,0,"aquarius"
62,2014,8,"capricorn"
56,2014,0,"taurus"
59,2014,0,"sagittarius"
34,2014,1,NA
29,2014,0,"pisces"
34,2014,0,"capricorn"
60,2014,0,"libra"
29,2014,0,"sagittarius"
31,2014,4,"taurus"
73,2014,2,"aquarius"
58,2014,1,"scorpio"
42,2014,2,"capricorn"
35,2014,1,"cancer"
51,2014,5,"leo"
54,2014,3,"gemini"
53,2014,2,"taurus"
52,2014,2,"gemini"
41,2014,0,"aquarius"
42,2014,0,"aries"
58,2014,1,"virgo"
38,2014,3,"pisces"
40,2014,2,NA
31,2014,2,"aries"
56,2014,6,NA
34,2014,1,"gemini"
58,2014,3,"gemini"
23,2014,1,"virgo"
51,2014,2,"libra"
53,2014,2,"virgo"
68,2014,0,"libra"
71,2014,6,NA
22,2014,1,"leo"
71,2014,5,NA
30,2014,0,"aries"
60,2014,4,"aries"
28,2014,0,"cancer"
60,2014,4,"gemini"
37,2014,0,"taurus"
52,2014,3,"aries"
25,2014,2,"scorpio"
19,2014,0,"virgo"
38,2014,1,"cancer"
41,2014,0,NA
43,2014,0,"gemini"
34,2014,0,"taurus"
39,2014,0,"pisces"
26,2014,0,"scorpio"
27,2014,0,"pisces"
34,2014,3,"cancer"
34,2014,1,"pisces"
38,2014,1,"cancer"
59,2014,0,"aries"
28,2014,0,"pisces"
32,2014,5,"cancer"
24,2014,0,"capricorn"
65,2014,5,"leo"
27,2014,0,"pisces"
51,2014,1,"cancer"
44,2014,7,"capricorn"
44,2014,4,"libra"
22,2014,0,"capricorn"
25,2014,2,"libra"
38,2014,3,"aquarius"
58,2014,1,"sagittarius"
38,2014,2,"virgo"
53,2014,2,"pisces"
42,2014,2,"virgo"
55,2014,6,"leo"
51,2014,3,"libra"
60,2014,2,"aries"
54,2014,0,"cancer"
38,2014,4,"gemini"
79,2014,3,"scorpio"
39,2014,2,"sagittarius"
38,2014,2,"taurus"
59,2014,2,"aquarius"
56,2014,1,"capricorn"
37,2014,0,"scorpio"
60,2014,0,"gemini"
32,2014,1,"aries"
63,2014,6,"cancer"
53,2014,2,"aquarius"
27,2014,2,"pisces"
62,2014,3,"aquarius"
22,2014,0,"sagittarius"
24,2014,1,"sagittarius"
23,2014,1,"gemini"
51,2014,2,"aquarius"
42,2014,3,"pisces"
31,2014,1,"gemini"
78,2014,8,"aquarius"
36,2014,0,"gemini"
64,2014,2,"aquarius"
76,2014,1,"scorpio"
41,2014,2,"pisces"
71,2014,3,"leo"
67,2014,2,"aquarius"
40,2014,2,NA
44,2014,4,"cancer"
43,2014,3,"aquarius"
59,2014,1,"virgo"
40,2014,2,"scorpio"
53,2014,2,"libra"
25,2014,0,"pisces"
60,2014,3,"cancer"
29,2014,1,"virgo"
30,2014,0,"capricorn"
59,2014,0,"aries"
40,2014,4,"virgo"
29,2014,0,"scorpio"
70,2014,1,"taurus"
27,2014,0,"virgo"
78,2014,1,"scorpio"
48,2014,0,"pisces"
64,2014,2,"virgo"
49,2014,1,"aquarius"
83,2014,2,"sagittarius"
62,2014,2,"sagittarius"
42,2014,0,"pisces"
84,2014,2,"pisces"
18,2014,0,"capricorn"
77,2014,0,"leo"
54,2014,0,"virgo"
62,2014,2,"aquarius"
56,2014,3,"pisces"
50,2014,0,"sagittarius"
23,2014,0,"pisces"
66,2014,2,"aquarius"
67,2014,1,"sagittarius"
49,2014,0,"sagittarius"
85,2014,4,"pisces"
68,2014,2,"libra"
63,2014,4,"leo"
39,2014,3,"capricorn"
89,2014,2,"sagittarius"
55,2014,2,"aries"
72,2014,0,"gemini"
42,2014,2,"virgo"
89,2014,2,"capricorn"
45,2014,2,"taurus"
84,2014,6,"aries"
75,2014,2,"cancer"
75,2014,1,"sagittarius"
53,2014,0,"virgo"
56,2014,1,"gemini"
35,2014,1,"sagittarius"
23,2014,1,"sagittarius"
21,2014,0,"gemini"
22,2014,0,"virgo"
29,2014,0,"sagittarius"
58,2014,1,NA
56,2014,3,"leo"
33,2014,2,"gemini"
72,2014,3,"virgo"
66,2014,3,"capricorn"
36,2014,1,"aries"
29,2014,1,"aquarius"
25,2014,0,"libra"
53,2014,1,"scorpio"
59,2014,0,"gemini"
44,2014,0,"aries"
40,2014,5,NA
51,2014,0,"cancer"
66,2014,1,"virgo"
40,2014,4,"taurus"
41,2014,3,"cancer"
50,2014,1,"leo"
